Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
dev,2,default,111,g0g1,dev_111_default,0.37763713080168776,20000
dev,0,default,113,,dev_113_default,0.2538677918424754,0
adev,0,default,111,,adev_111_default,0.2967651195499297,0
dev,1,default,113,g0,dev_113_default,0.3881856540084388,10000
dev,3,default,111,g0g1g2,dev_111_default,0.3769338959212377,30000
dev,2,default,112,g0g1,dev_112_default,0.3987341772151899,20000
dev,3,default,112,g0g1g2,dev_112_default,0.3931082981715893,30000
dev,0,default,112,,dev_112_default,0.26933895921237694,0
adev,1,default,113,g2,adev_113_default,0.360056258790436,10000
adev,3,default,113,g2g1g0,adev_113_default,0.3663853727144866,30000
adev,1,default,112,g2,adev_112_default,0.3720112517580872,10000
adev,0,default,113,,adev_113_default,0.2714486638537271,0
adev,3,default,112,g2g1g0,adev_112_default,0.33052039381153303,30000
adev,2,default,112,g2g1,adev_112_default,0.32841068917018285,20000
dev,3,default,113,g0g1g2,dev_113_default,0.3888888888888889,30000
adev,1,default,111,g2,adev_111_default,0.3670886075949367,10000
dev,0,default,111,,dev_111_default,0.24331926863572434,0
adev,2,default,113,g2g1,adev_113_default,0.34458509142053445,20000
adev,2,default,111,g2g1,adev_111_default,0.3488045007032349,20000
dev,2,default,113,g0g1,dev_113_default,0.3881856540084388,20000
dev,1,default,112,g0,dev_112_default,0.38677918424753865,10000
adev,3,default,111,g2g1g0,adev_111_default,0.37412095639943743,30000
adev,0,default,112,,adev_112_default,0.2580872011251758,0
dev,1,default,111,g0,dev_111_default,0.3691983122362869,10000
