Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
dev,2,default,111,g0g1,dev_111_default,0.4526720223541739,20000
dev,0,default,113,,dev_113_default,0.40055729710902127,0
adev,0,default,111,,adev_111_default,0.3799370849353373,0
dev,1,default,113,g0,dev_113_default,0.4461109173351936,10000
dev,3,default,111,g0g1g2,dev_111_default,0.41762452107279696,30000
dev,2,default,112,g0g1,dev_112_default,0.4447165850244926,20000
dev,3,default,112,g0g1g2,dev_112_default,0.4573833742546475,30000
dev,0,default,112,,dev_112_default,0.32633788037775446,0
adev,1,default,113,g2,adev_113_default,0.417833959685685,10000
adev,3,default,113,g2g1g0,adev_113_default,0.4202443280977312,30000
adev,1,default,112,g2,adev_112_default,0.45371987425777155,10000
adev,0,default,113,,adev_113_default,0.38896457765667575,0
adev,3,default,112,g2g1g0,adev_112_default,0.421070460704607,30000
adev,2,default,112,g2g1,adev_112_default,0.46183339142558383,20000
dev,3,default,113,g0g1g2,dev_113_default,0.4626396648044693,30000
adev,1,default,111,g2,adev_111_default,0.44130964820619994,10000
dev,0,default,111,,dev_111_default,0.3854419410745234,0
adev,2,default,113,g2g1,adev_113_default,0.4266199649737303,20000
adev,2,default,111,g2g1,adev_111_default,0.41064767717870465,20000
dev,2,default,113,g0g1,dev_113_default,0.4661076170510133,20000
dev,1,default,112,g0,dev_112_default,0.4337851929092805,10000
adev,3,default,111,g2g1g0,adev_111_default,0.4511173184357542,30000
adev,0,default,112,,adev_112_default,0.3634196185286104,0
dev,1,default,111,g0,dev_111_default,0.4490934449093445,10000
