Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
adev,3,default,166,g2g1g0,adev_166_default,0.2651195499296765,30000
adev,0,default,165,,adev_165_default,0.17088607594936708,0
dev,1,default,166,g0,dev_166_default,0.26652601969057665,10000
adev,0,default,166,,adev_166_default,0.1877637130801688,0
dev,0,default,166,,dev_166_default,0.189873417721519,0
dev,3,default,167,g0g1g2,dev_167_default,0.27566807313642755,30000
adev,0,default,167,,adev_167_default,0.16033755274261605,0
adev,1,default,165,g2,adev_165_default,0.23347398030942335,10000
dev,0,default,167,,dev_167_default,0.1589310829817159,0
dev,2,default,166,g0g1,dev_166_default,0.2812939521800281,20000
adev,2,default,167,g2g1,adev_167_default,0.27285513361462727,20000
dev,1,default,167,g0,dev_167_default,0.279887482419128,10000
dev,2,default,167,g0g1,dev_167_default,0.270042194092827,20000
adev,2,default,165,g2g1,adev_165_default,0.30450070323488043,20000
dev,3,default,165,g0g1g2,dev_165_default,0.26441631504922647,30000
adev,3,default,165,g2g1g0,adev_165_default,0.2848101265822785,30000
adev,1,default,167,g2,adev_167_default,0.2538677918424754,10000
adev,1,default,166,g2,adev_166_default,0.23277074542897327,10000
dev,3,default,166,g0g1g2,dev_166_default,0.26863572433192684,30000
adev,2,default,166,g2g1,adev_166_default,0.29324894514767935,20000
dev,0,default,165,,dev_165_default,0.16736990154711673,0
adev,3,default,167,g2g1g0,adev_167_default,0.25316455696202533,30000
dev,2,default,165,g0g1,dev_165_default,0.2890295358649789,20000
dev,1,default,165,g0,dev_165_default,0.2770745428973277,10000
