Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
rnd,2,default,113,na,rnd_113_default,0.48515151515151517,60000
dev,2,default,112,g0g1,dev_112_default,0.516969696969697,60000
adult,0,default,112,na,adult_112_default,0.23515151515151514,0
dev,1,default,112,g0,dev_112_default,0.4445454545454545,30000
adev,0,default,111,,adev_111_default,0.22272727272727272,0
adev,1,default,112,g2,adev_112_default,0.3512121212121212,30000
adult,1,default,113,na,adult_113_default,0.4536363636363636,30000
dev,3,default,111,g0g1g2,dev_111_default,0.5454545454545454,90000
adult,3,default,112,na,adult_112_default,0.5093939393939394,90000
dev,3,default,112,g0g1g2,dev_112_default,0.5581818181818182,90000
adult,0,default,111,na,adult_111_default,0.24212121212121213,0
adult,2,default,113,na,adult_113_default,0.5054545454545455,60000
dev,2,default,113,g0g1,dev_113_default,0.5354545454545454,60000
adev,0,default,113,,adev_113_default,0.27666666666666667,0
rnd,1,default,113,na,rnd_113_default,0.42757575757575755,30000
dev,0,default,112,,dev_112_default,0.25333333333333335,0
rnd,0,default,112,na,rnd_112_default,0.23272727272727273,0
adev,3,default,113,g2g1g0,adev_113_default,0.49333333333333335,90000
adult,1,default,112,na,adult_112_default,0.4160606060606061,30000
dev,0,default,113,,dev_113_default,0.2718181818181818,0
adult,2,default,112,na,adult_112_default,0.4984848484848485,60000
adev,3,default,112,g2g1g0,adev_112_default,0.4984848484848485,90000
rnd,1,default,111,na,rnd_111_default,0.39212121212121215,30000
dev,3,default,113,g0g1g2,dev_113_default,0.5545454545454546,90000
rnd,2,default,112,na,rnd_112_default,0.5112121212121212,60000
adev,0,default,112,,adev_112_default,0.2818181818181818,0
adult,1,default,111,na,adult_111_default,0.3839393939393939,30000
dev,0,default,111,,dev_111_default,0.2672727272727273,0
rnd,1,default,112,na,rnd_112_default,0.4203030303030303,30000
adult,3,default,111,na,adult_111_default,0.5121212121212121,90000
dev,2,default,111,g0g1,dev_111_default,0.5163636363636364,60000
rnd,3,default,113,na,rnd_113_default,0.5333333333333333,90000
adev,1,default,111,g2,adev_111_default,0.2493939393939394,30000
rnd,3,default,112,na,rnd_112_default,0.516969696969697,90000
rnd,2,default,111,na,rnd_111_default,0.5015151515151515,60000
adev,3,default,111,g2g1g0,adev_111_default,0.4996969696969697,90000
adult,0,default,113,na,adult_113_default,0.2778787878787879,0
adev,1,default,113,g2,adev_113_default,0.2787878787878788,30000
adult,3,default,113,na,adult_113_default,0.5175757575757576,90000
dev,1,default,111,g0,dev_111_default,0.44545454545454544,30000
adev,2,default,112,g2g1,adev_112_default,0.5036363636363637,60000
adev,2,default,113,g2g1,adev_113_default,0.48393939393939395,60000
adev,2,default,111,g2g1,adev_111_default,0.47333333333333333,60000
rnd,0,default,113,na,rnd_113_default,0.25727272727272726,0
dev,1,default,113,g0,dev_113_default,0.48545454545454547,30000
adult,2,default,111,na,adult_111_default,0.49606060606060604,60000
rnd,3,default,111,na,rnd_111_default,0.5348484848484848,90000
rnd,0,default,111,na,rnd_111_default,0.2963636363636364,0
