Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
rnd,2,default,113,na,rnd_113_default,0.4388185654008439,60000
dev,2,default,112,g0g1,dev_112_default,0.45569620253164556,60000
adult,0,default,112,na,adult_112_default,0.2440225035161744,0
dev,1,default,112,g0,dev_112_default,0.4732770745428973,30000
adev,0,default,111,,adev_111_default,0.2468354430379747,0
adev,1,default,112,g2,adev_112_default,0.38045007032348804,30000
adult,1,default,113,na,adult_113_default,0.4381153305203938,30000
dev,3,default,111,g0g1g2,dev_111_default,0.47749648382559773,90000
adult,3,default,112,na,adult_112_default,0.47257383966244726,90000
dev,3,default,112,g0g1g2,dev_112_default,0.4606188466947961,90000
adult,0,default,111,na,adult_111_default,0.24542897327707455,0
adult,2,default,113,na,adult_113_default,0.44655414908579466,60000
dev,2,default,113,g0g1,dev_113_default,0.4353023909985935,60000
adev,0,default,113,,adev_113_default,0.2630098452883263,0
rnd,1,default,113,na,rnd_113_default,0.38959212376933894,30000
dev,0,default,112,,dev_112_default,0.26652601969057665,0
rnd,0,default,112,na,rnd_112_default,0.2714486638537271,0
adev,3,default,113,g2g1g0,adev_113_default,0.47749648382559773,90000
adult,1,default,112,na,adult_112_default,0.39029535864978904,30000
dev,0,default,113,,dev_113_default,0.2651195499296765,0
adult,2,default,112,na,adult_112_default,0.44655414908579466,60000
adev,3,default,112,g2g1g0,adev_112_default,0.46554149085794655,90000
rnd,1,default,111,na,rnd_111_default,0.4085794655414909,30000
dev,3,default,113,g0g1g2,dev_113_default,0.4578059071729958,90000
rnd,2,default,112,na,rnd_112_default,0.4430379746835443,60000
adev,0,default,112,,adev_112_default,0.24472573839662448,0
adult,1,default,111,na,adult_111_default,0.38959212376933894,30000
dev,0,default,111,,dev_111_default,0.24753867791842477,0
rnd,1,default,112,na,rnd_112_default,0.3959212376933896,30000
adult,3,default,111,na,adult_111_default,0.4739803094233474,90000
dev,2,default,111,g0g1,dev_111_default,0.4409282700421941,60000
rnd,3,default,113,na,rnd_113_default,0.4451476793248945,90000
adev,1,default,111,g2,adev_111_default,0.2320675105485232,30000
rnd,3,default,112,na,rnd_112_default,0.4873417721518987,90000
rnd,2,default,111,na,rnd_111_default,0.44866385372714485,60000
adev,3,default,111,g2g1g0,adev_111_default,0.4409282700421941,90000
adult,0,default,113,na,adult_113_default,0.2707454289732771,0
adev,1,default,113,g2,adev_113_default,0.30168776371308015,30000
adult,3,default,113,na,adult_113_default,0.47749648382559773,90000
dev,1,default,111,g0,dev_111_default,0.4388185654008439,30000
adev,2,default,112,g2g1,adev_112_default,0.45218002812939523,60000
adev,2,default,113,g2g1,adev_113_default,0.42756680731364277,60000
adev,2,default,111,g2g1,adev_111_default,0.4022503516174402,60000
rnd,0,default,113,na,rnd_113_default,0.2419127988748242,0
dev,1,default,113,g0,dev_113_default,0.4704641350210971,30000
adult,2,default,111,na,adult_111_default,0.4571026722925457,60000
rnd,3,default,111,na,rnd_111_default,0.44022503516174405,90000
rnd,0,default,111,na,rnd_111_default,0.22644163150492264,0
