Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
adev,0,default,174,,adev_174_default,0.37251482385769097,0
adev,1,default,176,g2,adev_176_default,0.4079776067179846,10000
dev,1,default,174,g0,dev_174_default,0.44949152542372883,10000
dev,2,default,174,g0g1,dev_174_default,0.43466107617051014,20000
adev,0,default,175,,adev_175_default,0.39958231813435435,0
adev,3,default,176,g2g1g0,adev_176_default,0.43675751222921033,30000
adev,2,default,176,g2g1,adev_176_default,0.4475157452764171,20000
dev,1,default,176,g0,dev_176_default,0.41930986406413384,10000
adev,3,default,174,g2g1g0,adev_174_default,0.418848167539267,30000
dev,3,default,176,g0g1g2,dev_176_default,0.42887102411744144,30000
adev,2,default,175,g2g1,adev_175_default,0.43981805458362494,20000
adev,2,default,174,g2g1,adev_174_default,0.4154978962131837,20000
adev,1,default,175,g2,adev_175_default,0.42298456260720413,10000
dev,0,default,176,,dev_176_default,0.3245981830887491,0
dev,3,default,175,g0g1g2,dev_175_default,0.45197345441844217,30000
dev,0,default,175,,dev_175_default,0.3552908199018921,0
dev,3,default,174,g0g1g2,dev_174_default,0.44246239944036375,30000
adev,3,default,175,g2g1g0,adev_175_default,0.41018486222532263,30000
adev,0,default,176,,adev_176_default,0.3922918100481762,0
dev,2,default,175,g0g1,dev_175_default,0.446652719665272,20000
dev,1,default,175,g0,dev_175_default,0.4556607080266386,10000
dev,0,default,174,,dev_174_default,0.3808689558514366,0
adev,1,default,174,g2,adev_174_default,0.4025837988826816,10000
dev,2,default,176,g0g1,dev_176_default,0.42181695373184735,20000
