Curriculum,Epoch,Iteration,Train Loss,Validation Loss
Anti-Dev. (g2-g1-g0),9,9000,0.9944,0.9925
Anti-Dev. (g2-g1-g0),10,10000,0.9944,0.9922
Dev. (g0-g1-g2),6,6000,0.9566,0.9625
Dev. (g0-g1-g2),7,7000,0.939,0.9498
Dev. (g0-g1-g2),8,8000,0.9292,0.9422
Dev. (g0-g1-g2),9,9000,0.9226,0.937
Dev. (g0-g1-g2),10,10000,0.9163,0.9298
Anti-Dev. (g2-g1-g0),6,6000,0.9946,0.9925
Anti-Dev. (g2-g1-g0),7,7000,0.9945,0.9924
Anti-Dev. (g2-g1-g0),8,8000,0.9945,0.9925
Anti-Dev. (g2-g1-g0),9,9000,0.9944,0.9923
Anti-Dev. (g2-g1-g0),10,10000,0.9944,0.9921
Oldest Only (g2-g2-g2),6,6000,0.9941,0.9918
Oldest Only (g2-g2-g2),7,7000,0.994,0.9915
Oldest Only (g2-g2-g2),8,8000,0.994,0.9914
Oldest Only (g2-g2-g2),9,9000,0.994,0.9914
Oldest Only (g2-g2-g2),10,10000,0.994,0.9916
Anti-Dev. (g2-g1-g0),11,11000,0.9944,0.9833
Anti-Dev. (g2-g1-g0),12,12000,0.9942,0.9851
Anti-Dev. (g2-g1-g0),13,13000,0.9928,0.9828
Anti-Dev. (g2-g1-g0),14,14000,0.9825,0.9515
Anti-Dev. (g2-g1-g0),15,15000,0.9666,0.9299
Dev. (g0-g1-g2),11,11000,0.9264,0.9192
Dev. (g0-g1-g2),12,12000,0.9153,0.8999
Dev. (g0-g1-g2),13,13000,0.9048,0.8948
Dev. (g0-g1-g2),14,14000,0.8994,0.8899
Dev. (g0-g1-g2),15,15000,0.8957,0.8856
Anti-Dev. (g2-g1-g0),11,11000,0.9944,0.9851
Anti-Dev. (g2-g1-g0),12,12000,0.9942,0.9833
Anti-Dev. (g2-g1-g0),13,13000,0.9932,0.982
Anti-Dev. (g2-g1-g0),14,14000,0.9852,0.9567
Anti-Dev. (g2-g1-g0),15,15000,0.9692,0.9338
Random (rand-rand-rand),11,11000,0.9704,0.9508
Random (rand-rand-rand),12,12000,0.9675,0.9447
Random (rand-rand-rand),13,13000,0.9608,0.9398
Random (rand-rand-rand),14,14000,0.9506,0.9132
Random (rand-rand-rand),15,15000,0.9342,0.9007
Random (rand-rand-rand),11,11000,0.9552,0.9488
Random (rand-rand-rand),12,12000,0.9465,0.9371
Random (rand-rand-rand),13,13000,0.9369,0.9272
Random (rand-rand-rand),14,14000,0.9295,0.9197
Random (rand-rand-rand),15,15000,0.9237,0.9143
Dev. (g0-g1-g2),11,11000,0.928,0.9188
Dev. (g0-g1-g2),12,12000,0.9203,0.9067
Dev. (g0-g1-g2),13,13000,0.9088,0.8967
Dev. (g0-g1-g2),14,14000,0.9015,0.8907
Dev. (g0-g1-g2),15,15000,0.8962,0.8855
Adult (adult-g1-g2),11,11000,0.9688,0.9589
Adult (adult-g1-g2),12,12000,0.9554,0.9462
Adult (adult-g1-g2),13,13000,0.944,0.9365
Adult (adult-g1-g2),14,14000,0.9377,0.9318
Adult (adult-g1-g2),15,15000,0.9335,0.9279
Adult (adult-g1-g2),11,11000,0.9706,0.9627
Adult (adult-g1-g2),12,12000,0.9616,0.9535
Adult (adult-g1-g2),13,13000,0.9472,0.9388
Adult (adult-g1-g2),14,14000,0.9394,0.9339
Adult (adult-g1-g2),15,15000,0.9349,0.9306
Oldest Only (g2-g2-g2),11,11000,0.994,0.9914
Oldest Only (g2-g2-g2),12,12000,0.994,0.9915
Oldest Only (g2-g2-g2),13,13000,0.994,0.9916
Oldest Only (g2-g2-g2),14,14000,0.994,0.9915
Oldest Only (g2-g2-g2),15,15000,0.994,0.9916
Oldest Only (g2-g2-g2),11,11000,0.994,0.9918
Oldest Only (g2-g2-g2),12,12000,0.994,0.9914
Oldest Only (g2-g2-g2),13,13000,0.994,0.9914
Oldest Only (g2-g2-g2),14,14000,0.994,0.9914
Oldest Only (g2-g2-g2),15,15000,0.994,0.9916
Oldest Only (g2-g2-g2),11,11000,0.994,0.9914
Oldest Only (g2-g2-g2),12,12000,0.994,0.9914
Oldest Only (g2-g2-g2),13,13000,0.994,0.9915
Oldest Only (g2-g2-g2),14,14000,0.994,0.9916
Oldest Only (g2-g2-g2),15,15000,0.994,0.9915
Anti-Dev. (g2-g1-g0),11,11000,0.9944,0.9828
Anti-Dev. (g2-g1-g0),12,12000,0.9942,0.983
Anti-Dev. (g2-g1-g0),13,13000,0.9928,0.9855
Anti-Dev. (g2-g1-g0),14,14000,0.9819,0.9515
Anti-Dev. (g2-g1-g0),15,15000,0.9778,0.9826
Random (rand-rand-rand),11,11000,0.9266,0.9153
Random (rand-rand-rand),12,12000,0.9179,0.9092
Random (rand-rand-rand),13,13000,0.9104,0.902
Random (rand-rand-rand),14,14000,0.8992,0.8958
Random (rand-rand-rand),15,15000,0.8915,0.8878
Dev. (g0-g1-g2),11,11000,0.9289,0.9187
Dev. (g0-g1-g2),12,12000,0.9187,0.9057
Dev. (g0-g1-g2),13,13000,0.9066,0.8946
Dev. (g0-g1-g2),14,14000,0.9004,0.889
Dev. (g0-g1-g2),15,15000,0.8961,0.888
